Offence,A,CB,C,E,FH,NE,NW,PI,SC,SE,S,SW,W,Total,Source_File,Year
Manslaughter,0,0,0,0,0,0,0,0,0,0,0,1,0,1,RBPF 2024 Annual Crime Report.pdf,2024
Rape,0,1,7,0,1,7,3,4,5,3,4,11,0,46,RBPF 2024 Annual Crime Report.pdf,2024
Attempted Rape,0,0,1,0,0,1,0,0,1,3,1,1,1,9,RBPF 2024 Annual Crime Report.pdf,2024
Unlawful Sex,0,2,8,10,2,5,5,1,16,18,5,17,2,91,RBPF 2024 Annual Crime Report.pdf,2024
Armed Robbery,1,8,14,10,5,29,6,0,37,41,33,59,11,254,RBPF 2024 Annual Crime Report.pdf,2024
Robbery,0,1,8,1,5,5,3,1,8,12,2,7,1,54,RBPF 2024 Annual Crime Report.pdf,2024
Attempted Robbery,0,0,2,0,1,0,1,1,0,2,0,0,0,7,RBPF 2024 Annual Crime Report.pdf,2024
Sub Total,1,13,45,30,23,58,22,7,94,104,57,118,21,593,RBPF 2024 Annual Crime Report.pdf,2024
Burglary,0,3,1,0,3,3,0,2,3,4,2,3,11,35,RBPF 2024 Annual Crime Report.pdf,2024
Housebreaking,0,16,8,18,19,24,6,1,27,28,21,30,28,226,RBPF 2024 Annual Crime Report.pdf,2024
Shop breaking,0,4,33,7,7,47,16,1,19,15,18,32,18,217,RBPF 2024 Annual Crime Report.pdf,2024
Stealing,5,45,39,40,32,54,44,23,59,74,50,139,47,651,RBPF 2024 Annual Crime Report.pdf,2024
,0,5,20,16,9,16,10,3,13,40,9,20,3,164,RBPF 2024 Annual Crime Report.pdf,2024
Stolen Vehicle,0,33,23,33,9,16,18,10,39,52,27,96,18,374,RBPF 2024 Annual Crime Report.pdf,2024
Sub Total,5,106,124,114,79,160,94,40,160,213,127,320,125,1667,RBPF 2024 Annual Crime Report.pdf,2024
TOTAL,6,119,169,144,102,218,116,47,254,317,184,438,146,2260,RBPF 2024 Annual Crime Report.pdf,2024
